sample_number,site_id,date,sample_type,method,ng_m_l,lake,site_type,depth_category,ng_g_resin,congener,value
143,BKS_RN_BU_DD,2025-07-09,regular,grab,NA,rainbow,buoy,bottom,NA,wr,0
143,BKS_RN_BU_DD,2025-07-09,regular,grab,NA,rainbow,buoy,bottom,NA,atx,0
143,BKS_RN_BU_DD,2025-07-09,regular,grab,NA,rainbow,buoy,bottom,NA,hatx,0
143,BKS_RN_BU_DD,2025-07-09,regular,grab,NA,rainbow,buoy,bottom,NA,cyl,0
144,BKS_LJ_BU_SS,2025-07-09,regular,grab,NA,lower jade,buoy,surface,NA,rr,0
144,BKS_LJ_BU_SS,2025-07-09,regular,grab,NA,lower jade,buoy,surface,NA,yr,0
144,BKS_LJ_BU_SS,2025-07-09,regular,grab,NA,lower jade,buoy,surface,NA,lr,0.267939701
144,BKS_LJ_BU_SS,2025-07-09,regular,grab,NA,lower jade,buoy,surface,NA,la,0
144,BKS_LJ_BU_SS,2025-07-09,regular,grab,NA,lower jade,buoy,surface,NA,dm_lr,0
144,BKS_LJ_BU_SS,2025-07-09,regular,grab,NA,lower jade,buoy,surface,NA,ly,0
144,BKS_LJ_BU_SS,2025-07-09,regular,grab,NA,lower jade,buoy,surface,NA,nod,0
144,BKS_LJ_BU_SS,2025-07-09,regular,grab,NA,lower jade,buoy,surface,NA,lf,0
144,BKS_LJ_BU_SS,2025-07-09,regular,grab,NA,lower jade,buoy,surface,NA,wr,0
144,BKS_LJ_BU_SS,2025-07-09,regular,grab,NA,lower jade,buoy,surface,NA,atx,0
144,BKS_LJ_BU_SS,2025-07-09,regular,grab,NA,lower jade,buoy,surface,NA,hatx,0
144,BKS_LJ_BU_SS,2025-07-09,regular,grab,NA,lower jade,buoy,surface,NA,cyl,0
145,BKS_LJ_BU_DD,2025-07-09,regular,grab,NA,lower jade,buoy,bottom,NA,rr,0
145,BKS_LJ_BU_DD,2025-07-09,regular,grab,NA,lower jade,buoy,bottom,NA,yr,0
145,BKS_LJ_BU_DD,2025-07-09,regular,grab,NA,lower jade,buoy,bottom,NA,lr,0
145,BKS_LJ_BU_DD,2025-07-09,regular,grab,NA,lower jade,buoy,bottom,NA,la,0
145,BKS_LJ_BU_DD,2025-07-09,regular,grab,NA,lower jade,buoy,bottom,NA,dm_lr,0
145,BKS_LJ_BU_DD,2025-07-09,regular,grab,NA,lower jade,buoy,bottom,NA,ly,0
145,BKS_LJ_BU_DD,2025-07-09,regular,grab,NA,lower jade,buoy,bottom,NA,nod,0
145,BKS_LJ_BU_DD,2025-07-09,regular,grab,NA,lower jade,buoy,bottom,NA,lf,0
145,BKS_LJ_BU_DD,2025-07-09,regular,grab,NA,lower jade,buoy,bottom,NA,wr,0
145,BKS_LJ_BU_DD,2025-07-09,regular,grab,NA,lower jade,buoy,bottom,NA,atx,0
145,BKS_LJ_BU_DD,2025-07-09,regular,grab,NA,lower jade,buoy,bottom,NA,hatx,0
145,BKS_LJ_BU_DD,2025-07-09,regular,grab,NA,lower jade,buoy,bottom,NA,cyl,0
148,BYS_BR_SH_01,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,rr,0
148,BYS_BR_SH_01,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,yr,0
148,BYS_BR_SH_01,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,lr,0.46086632
148,BYS_BR_SH_01,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,la,0
148,BYS_BR_SH_01,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,dm_lr,0
148,BYS_BR_SH_01,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,ly,0
148,BYS_BR_SH_01,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,nod,0
148,BYS_BR_SH_01,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,lf,0
148,BYS_BR_SH_01,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,wr,0
148,BYS_BR_SH_01,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,atx,0
148,BYS_BR_SH_01,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,hatx,0
148,BYS_BR_SH_01,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,cyl,0
149,BYS_PC_SH_02,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,rr,0
149,BYS_PC_SH_02,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,yr,0
149,BYS_PC_SH_02,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,lr,0.321627993
149,BYS_PC_SH_02,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,la,0
149,BYS_PC_SH_02,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,dm_lr,0
149,BYS_PC_SH_02,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,ly,0
149,BYS_PC_SH_02,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,nod,0
149,BYS_PC_SH_02,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,lf,0
149,BYS_PC_SH_02,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,wr,0
149,BYS_PC_SH_02,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,atx,0
149,BYS_PC_SH_02,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,hatx,0
149,BYS_PC_SH_02,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,cyl,0
150,BYS_FR_SH_03,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,rr,0
150,BYS_FR_SH_03,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,yr,0
150,BYS_FR_SH_03,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,lr,0.251883389
150,BYS_FR_SH_03,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,la,0
150,BYS_FR_SH_03,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,dm_lr,0
150,BYS_FR_SH_03,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,ly,0
150,BYS_FR_SH_03,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,nod,0
150,BYS_FR_SH_03,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,lf,0
150,BYS_FR_SH_03,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,wr,0
150,BYS_FR_SH_03,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,atx,0
150,BYS_FR_SH_03,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,hatx,0
150,BYS_FR_SH_03,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,cyl,0
151,BYS_CR_SH_04,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,rr,0
151,BYS_CR_SH_04,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,yr,0
151,BYS_CR_SH_04,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,lr,0
151,BYS_CR_SH_04,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,la,0
151,BYS_CR_SH_04,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,dm_lr,0
151,BYS_CR_SH_04,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,ly,0
151,BYS_CR_SH_04,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,nod,0
151,BYS_CR_SH_04,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,lf,0
151,BYS_CR_SH_04,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,wr,0
151,BYS_CR_SH_04,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,atx,0
151,BYS_CR_SH_04,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,hatx,0
151,BYS_CR_SH_04,2025-07-10,regular,grab,NA,boysen,shore,NA,NA,cyl,0
164,BKS_BL_SH_01,2025-07-21,regular,grab,NA,brooks,shore,NA,NA,rr,0
164,BKS_BL_SH_01,2025-07-21,regular,grab,NA,brooks,shore,NA,NA,yr,0
164,BKS_BL_SH_01,2025-07-21,regular,grab,NA,brooks,shore,NA,NA,lr,0
164,BKS_BL_SH_01,2025-07-21,regular,grab,NA,brooks,shore,NA,NA,la,0
164,BKS_BL_SH_01,2025-07-21,regular,grab,NA,brooks,shore,NA,NA,dm_lr,0
164,BKS_BL_SH_01,2025-07-21,regular,grab,NA,brooks,shore,NA,NA,ly,0
164,BKS_BL_SH_01,2025-07-21,regular,grab,NA,brooks,shore,NA,NA,nod,0
