sample_number,site_id,date,lake,site_type,depth_category,method,toxin_class,total
188,BYS_CR_SH_04,2025-07-21,boysen,shore,NA,grab,anatoxin,0
188,BYS_CR_SH_04,2025-07-21,boysen,shore,NA,grab,cylindrospermopsin,0
188,BYS_CR_SH_04,2025-07-21,boysen,shore,NA,grab,microcystin,0
188,BYS_CR_SH_04,2025-07-21,boysen,shore,NA,grab,nodularin,0
223,BKS_BL_SH_01,2025-08-04,brooks,shore,NA,grab,anatoxin,0
223,BKS_BL_SH_01,2025-08-04,brooks,shore,NA,grab,cylindrospermopsin,0
223,BKS_BL_SH_01,2025-08-04,brooks,shore,NA,grab,microcystin,0
223,BKS_BL_SH_01,2025-08-04,brooks,shore,NA,grab,nodularin,0
224,BKS_BL_SH_02,2025-08-04,brooks,shore,NA,grab,anatoxin,0
224,BKS_BL_SH_02,2025-08-04,brooks,shore,NA,grab,cylindrospermopsin,0
224,BKS_BL_SH_02,2025-08-04,brooks,shore,NA,grab,microcystin,0
224,BKS_BL_SH_02,2025-08-04,brooks,shore,NA,grab,nodularin,0
225,BKS_BL_SH_03,2025-08-04,brooks,shore,NA,grab,anatoxin,0
225,BKS_BL_SH_03,2025-08-04,brooks,shore,NA,grab,cylindrospermopsin,0
225,BKS_BL_SH_03,2025-08-04,brooks,shore,NA,grab,microcystin,0
225,BKS_BL_SH_03,2025-08-04,brooks,shore,NA,grab,nodularin,0
226,BKS_BL_SH_04,2025-08-04,brooks,shore,NA,grab,anatoxin,0
226,BKS_BL_SH_04,2025-08-04,brooks,shore,NA,grab,cylindrospermopsin,0
226,BKS_BL_SH_04,2025-08-04,brooks,shore,NA,grab,microcystin,0
226,BKS_BL_SH_04,2025-08-04,brooks,shore,NA,grab,nodularin,0
227,BKS_BL_SH_05,2025-08-06,brooks,shore,NA,grab,anatoxin,0
227,BKS_BL_SH_05,2025-08-06,brooks,shore,NA,grab,cylindrospermopsin,0
227,BKS_BL_SH_05,2025-08-06,brooks,shore,NA,grab,microcystin,0
227,BKS_BL_SH_05,2025-08-06,brooks,shore,NA,grab,nodularin,0
228,BKS_BL_SH_06,2025-08-06,brooks,shore,NA,grab,anatoxin,0
228,BKS_BL_SH_06,2025-08-06,brooks,shore,NA,grab,cylindrospermopsin,0
228,BKS_BL_SH_06,2025-08-06,brooks,shore,NA,grab,microcystin,0
228,BKS_BL_SH_06,2025-08-06,brooks,shore,NA,grab,nodularin,0
229,BKS_BL_SH_07,2025-08-06,brooks,shore,NA,grab,anatoxin,0
229,BKS_BL_SH_07,2025-08-06,brooks,shore,NA,grab,cylindrospermopsin,0
229,BKS_BL_SH_07,2025-08-06,brooks,shore,NA,grab,microcystin,0.380646375
229,BKS_BL_SH_07,2025-08-06,brooks,shore,NA,grab,nodularin,0
232,BKS_BL_BU_SS,2025-08-06,brooks,buoy,surface,grab,anatoxin,0
232,BKS_BL_BU_SS,2025-08-06,brooks,buoy,surface,grab,cylindrospermopsin,0
232,BKS_BL_BU_SS,2025-08-06,brooks,buoy,surface,grab,microcystin,0.389763654
232,BKS_BL_BU_SS,2025-08-06,brooks,buoy,surface,grab,nodularin,0
