sample_number,site_id,date,method,sample_type,status,lake,site_type,depth_category,has_grab_result,has_spatt_result,status_final
178,BKS_UB_BU_DD,2025-07-22,grab,regular,shipped,upper brooks,buoy,bottom,TRUE,FALSE,analyzed
179,BKS_RN_SH_10,2025-07-22,grab,regular,shipped,rainbow,shore,NA,TRUE,FALSE,analyzed
180,BKS_RN_BU_SS,2025-07-22,grab,regular,shipped,rainbow,buoy,surface,TRUE,FALSE,analyzed
181,BKS_RN_BU_DD,2025-07-22,grab,regular,shipped,rainbow,buoy,bottom,TRUE,FALSE,analyzed
182,BKS_LJ_BU_SS,2025-07-22,grab,regular,shipped,lower jade,buoy,surface,TRUE,FALSE,analyzed
183,BKS_LJ_BU_DD,2025-07-22,grab,regular,shipped,lower jade,buoy,bottom,TRUE,FALSE,analyzed
184,BKS_BL_BU_SS,2025-07-23,grab,duplicate,shipped,brooks,buoy,surface,TRUE,FALSE,analyzed
185,BYS_BR_SH_01,2025-07-21,grab,regular,shipped,boysen,shore,NA,TRUE,FALSE,analyzed
186,BYS_PC_SH_02,2025-07-21,grab,regular,shipped,boysen,shore,NA,TRUE,FALSE,analyzed
187,BYS_FR_SH_03,2025-07-21,grab,regular,shipped,boysen,shore,NA,TRUE,FALSE,analyzed
188,BYS_CR_SH_04,2025-07-21,grab,regular,shipped,boysen,shore,NA,TRUE,FALSE,analyzed
189,BYS_BY_BU_SS,2025-07-30,grab,regular,collected,boysen,buoy,surface,FALSE,FALSE,collected
190,BYS_BY_BU_DD,2025-07-30,grab,regular,collected,boysen,buoy,bottom,FALSE,FALSE,collected
191,BYS_CR_SH_04,2025-07-21,grab,duplicate,shipped,boysen,shore,NA,TRUE,FALSE,analyzed
192,GRAB_BLANK,2025-07-22,grab,blank,shipped,blank,NA,NA,TRUE,FALSE,analyzed
194,BKS_BL_SH_01,2025-08-04,spatt,regular,shipped,brooks,shore,NA,FALSE,TRUE,analyzed
195,BKS_BL_SH_02,2025-08-04,spatt,regular,shipped,brooks,shore,NA,FALSE,TRUE,analyzed
196,BKS_BL_SH_03,2025-08-04,spatt,regular,shipped,brooks,shore,NA,FALSE,TRUE,analyzed
197,BKS_BL_SH_04,2025-08-04,spatt,regular,shipped,brooks,shore,NA,FALSE,TRUE,analyzed
198,BKS_BL_SH_05,2025-08-06,spatt,regular,shipped,brooks,shore,NA,FALSE,TRUE,analyzed
199,BKS_BL_SH_06,2025-08-06,spatt,regular,shipped,brooks,shore,NA,FALSE,TRUE,analyzed
200,BKS_BL_SH_07,2025-08-06,spatt,regular,shipped,brooks,shore,NA,FALSE,TRUE,analyzed
